alpha,steps
0.07,2704
0.07,2751
0.07,3711
0.07,3749
0.07,1813
0.07,1781
0.07,3496
0.07,3026
0.07,3180
0.07,3981
0.07,4390
0.07,2623
0.07,3156
0.07,2491
0.07,2198
0.07,5024
0.07,5051
0.07,2768
0.07,3592
0.07,3476
0.07,2818
0.07,3761
0.07,4154
0.07,4998
0.07,2669
0.07,3753
0.07,2822
0.07,3658
0.07,3223
0.07,1797
0.07,2846
0.07,3432
0.07,4138
0.07,3051
0.07,3396
0.07,2180
0.07,3354
0.07,2502
0.07,2403
0.07,2561
0.07,4309
0.07,3854
0.07,3588
0.07,2062
0.07,3924
0.07,2491
0.07,2395
0.07,1861
0.07,2681
0.07,3301
0.07,2858
0.07,3614
0.07,2520
0.07,1230
0.07,2762
0.07,3843
0.07,2618
0.07,2501
0.07,2765
0.07,3314
0.07,2497
0.07,4615
0.07,3299
0.07,4357
0.07,3741
0.07,3064
0.07,2871
0.07,3441
0.07,3147
0.07,2855
0.07,2742
0.07,2107
0.07,1886
0.07,2315
0.07,2913
0.07,2782
0.07,3088
0.07,4103
0.07,2325
0.07,2850
0.07,2222
0.08,3082
0.08,4525
0.08,2447
0.08,4080
0.08,3348
0.08,4093
0.08,5337
0.08,1989
0.08,2330
0.08,3244
0.08,2236
0.08,2111
0.08,1328
0.08,2494
0.08,3037
0.08,2437
0.08,2601
0.08,3515
0.08,4968
0.08,2486
0.08,2051
0.08,1975
0.08,2639
0.08,3830
0.08,4699
0.08,3622
0.08,2905
0.08,3274
0.08,2966
0.08,2788
0.08,3023
0.08,4385
0.08,1352
0.08,7822
0.08,2893
0.08,4253
0.08,3725
0.08,2284
0.08,3845
0.08,2783
0.08,2928
0.08,2216
0.08,3518
0.08,3466
0.08,3299
0.08,2309
0.08,1751
0.08,3450
0.08,3669
0.08,3572
0.08,5082
0.08,4785
0.08,2764
0.08,3417
0.08,3576
0.08,1453
0.08,2442
0.08,4240
0.08,2154
0.08,4959
0.08,2129
0.08,2857
0.08,3435
0.08,2428
0.08,2806
0.08,3099
0.08,2304
0.08,1752
0.08,2048
0.08,2549
0.08,2239
0.08,1862
0.08,1751
0.08,2356
0.08,3983
0.08,2898
0.08,3446
0.08,2849
0.08,2027
0.08,2599
0.08,2348
0.08,4507
0.08,3074
0.08,2244
0.08,3430
0.08,2665
0.08,2925
0.08,2585
0.08,2038
0.08,3001
0.08,3210
0.08,2528
0.08,5212
0.08,3508
0.08,1729
0.08,2367
0.08,3648
0.08,4466
0.08,2775
0.08,2959
0.09,4169
0.09,4813
0.09,4456
0.09,4239
0.09,2608
0.09,1808
0.09,1782
0.09,3629
0.09,2143
0.09,3408
0.09,3770
0.09,2946
0.09,2503
0.09,4599
0.09,1970
0.09,2511
0.09,2674
0.09,2764
0.09,2820
0.09,3608
0.09,2269
0.09,2631
0.09,2893
0.09,2091
0.09,4104
0.09,3538
0.09,3675
0.09,2293
0.09,2463
0.09,3321
0.09,3244
0.09,4160
0.09,2376
0.09,2742
0.09,4209
0.09,3807
0.09,2015
0.09,2635
0.09,1803
0.09,4632
0.09,2470
0.09,3381
0.09,6052
0.09,3891
0.09,1298
0.09,3752
0.09,2968
0.09,3302
0.09,4172
0.09,3473
0.09,2436
0.09,3764
0.09,3617
0.09,2529
0.09,2833
0.09,2726
0.09,2737
0.09,2850
0.09,3125
0.09,6494
0.09,3037
0.09,3238
0.09,5039
0.09,3686
0.09,1698
0.09,2858
0.09,3223
0.09,4028
0.09,4633
0.09,2603
0.09,2305
0.09,3102
0.09,2648
0.09,2711
0.09,4467
0.09,3549
0.09,3995
0.09,2639
0.09,2890
0.09,4227
0.09,2800
0.09,3119
0.09,2437
0.09,2088
0.09,2499
0.09,2813
0.09,2335
0.09,2444
0.09,2925
0.09,2143
0.09,3258
0.09,2109
0.09,2804
0.09,2343
0.09,2480
0.09,2477
0.09,2948
0.09,3555
0.09,3334
0.09,4225
0.1,2911
0.1,2948
0.1,3988
0.1,2203
0.1,2427
0.1,4267
0.1,3884
0.1,3721
0.1,4761
0.1,5210
0.1,2862
0.1,2976
0.1,4413
0.1,3863
0.1,2513
0.1,2861
0.1,3248
0.1,3844
0.1,3046
0.1,2844
0.1,2257
0.1,3499
0.1,5084
0.1,1711
0.1,4559
0.1,3584
0.1,2696
0.1,2500
0.1,6129
0.1,3569
0.1,3372
0.1,3272
0.1,2775
0.1,3731
0.1,3242
0.1,2227
0.1,2585
0.1,2272
0.1,3129
0.1,3282
0.1,2828
0.1,2109
0.1,2976
0.1,3442
0.1,4771
0.1,3996
0.1,4170
0.1,6292
0.1,3311
0.1,3493
0.1,2676
0.1,3642
0.1,1489
0.1,2263
0.1,3859
0.1,5870
0.1,2726
0.1,2597
0.1,3947
0.1,4510
0.1,2273
0.1,2384
0.1,3402
0.1,2812
0.1,2285
0.1,3507
0.1,3085
0.1,2850
0.1,4475
0.1,2820
0.1,3750
0.1,2814
0.1,1726
0.1,3016
0.1,3552
0.1,2284
0.1,2206
0.1,4999
0.1,4385
0.1,4035
0.1,1967
0.1,3503
0.1,2748
0.1,2352
0.1,3983
0.1,2354
0.1,4093
0.1,3857
0.1,5504
0.1,2616
0.1,2849
0.1,3527
0.1,4716
0.1,3190
0.1,2225
0.1,2844
0.1,4112
0.1,4177
0.1,3529
0.1,3202
0.11,2791
0.11,2110
0.11,2633
0.11,1802
0.11,3235
0.11,2105
0.11,3811
0.11,3521
0.11,3674
0.11,7197
0.11,1492
0.11,5169
0.11,3562
0.11,4031
0.11,3094
0.11,2869
0.11,4342
0.11,3106
0.11,2136
0.11,3207
0.11,2883
0.11,3624
0.11,2871
0.11,2059
0.11,2858
0.11,2797
0.11,10051
0.11,3357
0.11,3752
0.11,4486
0.11,2533
0.11,4841
0.11,2725
0.11,4065
0.11,2077
0.11,1744
0.11,3223
0.11,2335
0.11,1765
0.11,3558
0.11,3497
0.11,2545
0.11,2484
0.11,3226
0.11,6873
0.11,2855
0.11,2890
0.11,2880
0.11,9621
0.11,3744
0.11,1964
0.11,3042
0.11,2860
0.11,2556
0.11,2760
0.11,4192
0.11,2411
0.11,3999
0.11,3560
0.11,2909
0.11,3090
0.11,3061
0.11,2891
0.11,3165
0.11,2370
0.11,5015
0.11,3606
0.11,3300
0.11,3168
0.11,5449
0.11,4319
0.11,2003
0.11,2779
0.11,2313
0.11,2776
0.11,2995
0.11,2828
0.11,7077
0.11,2206
0.11,2389
0.11,2306
0.11,1902
0.11,3432
0.11,2958
0.11,2980
0.11,3908
0.11,4600
0.11,5509
0.11,6278
0.11,3549
0.11,2820
0.11,2909
0.11,3803
0.11,6220
0.11,2315
0.11,3735
0.11,3601
0.11,4115
0.11,5254
0.11,2531
0.12,2809
0.12,2718
0.12,2956
0.12,2937
0.12,4478
0.12,2513
0.12,4218
0.12,3488
0.12,2775
0.12,4254
0.12,3308
0.12,4813
0.12,4377
0.12,3448
0.12,4358
0.12,3594
0.12,3461
0.12,3460
0.12,4532
0.12,6465
0.12,3222
0.12,2698
0.12,3033
0.12,2625
0.12,2334
0.12,2898
0.12,4587
0.12,2124
0.12,4597
0.12,3448
0.12,3067
0.12,2477
0.12,3509
0.12,2618
0.12,2778
0.12,2641
0.12,3602
0.12,2310
0.12,3448
0.12,4461
0.12,2184
0.12,3336
0.12,3788
0.12,3637
0.12,3782
0.12,3140
0.12,2508
0.12,2341
0.12,4743
0.12,3349
0.12,3179
0.12,4035
0.12,2895
0.12,3682
0.12,2887
0.12,3726
0.12,3824
0.12,4045
0.12,4395
0.12,1821
0.12,3050
0.12,3301
0.12,3047
0.12,3114
0.12,1957
0.12,4395
0.12,2998
0.12,1983
0.12,2832
0.12,2373
0.12,2401
0.12,3724
0.12,3873
0.12,5145
0.12,2761
0.12,3228
0.12,3723
0.12,3336
0.12,3832
0.12,3381
0.12,3654
0.12,5727
0.12,3977
0.12,4932
0.12,4067
0.12,3610
0.12,2522
0.12,3511
0.12,3274
0.12,3261
0.12,4476
0.12,3911
0.12,4285
0.12,4925
0.12,2780
0.12,3331
0.12,3227
0.12,4568
0.12,2914
0.12,2533
0.13,6571
0.13,1820
0.13,3761
0.13,3751
0.13,3369
0.13,3376
0.13,2305
0.13,2728
0.13,4470
0.13,4298
0.13,2435
0.13,3205
0.13,2809
0.13,4295
0.13,5358
0.13,2258
0.13,3410
0.13,3166
0.13,2362
0.13,4140
0.13,3795
0.13,2636
0.13,3703
0.13,2061
0.13,3105
0.13,2048
0.13,4187
0.13,4128
0.13,3153
0.13,2976
0.13,2174
0.13,2546
0.13,2305
0.13,3981
0.13,1777
0.13,3177
0.13,3410
0.13,4054
0.13,3006
0.13,3170
0.13,2711
0.13,5377
0.13,2245
0.13,4587
0.13,3319
0.13,3434
0.13,2772
0.13,2519
0.13,2546
0.13,3250
0.13,2732
0.13,3377
0.13,3849
0.13,2693
0.13,2807
0.13,3370
0.13,2939
0.13,5608
0.13,2769
0.13,2168
0.13,2850
0.13,2662
0.13,2871
0.13,1666
0.13,1882
0.13,4555
0.13,2897
0.13,3189
0.13,4303
0.13,4466
0.13,3968
0.13,3616
0.13,3200
0.13,2078
0.13,2748
0.13,2622
0.13,3539
0.13,3060
0.13,3071
0.13,3061
0.13,2863
0.13,2837
0.13,2440
0.13,2141
0.13,3808
0.13,3953
0.13,4434
0.13,3292
0.13,2224
0.13,3297
0.13,2885
0.13,4162
0.13,3909
0.13,2936
0.13,2771
0.13,2844
0.13,3028
0.13,3029
0.13,2837
0.13,2591
0.14,3235
0.14,3267
0.14,2488
0.14,3141
0.14,5229
0.14,3138
0.14,2988
0.14,1460
0.14,3237
0.14,6078
0.14,5677
0.14,3407
0.14,4010
0.14,2689
0.14,4495
0.14,5130
0.14,2933
0.14,3249
0.14,2828
0.14,2592
0.14,2267
0.14,2630
0.14,1758
0.14,1671
0.14,5659
0.14,3925
0.14,3324
0.14,3592
0.14,2168
0.14,2355
0.14,3718
0.14,3096
0.14,3820
0.14,2660
0.14,2586
0.14,2867
0.14,3603
0.14,4753
0.14,2490
0.14,4189
0.14,2233
0.14,3066
0.14,2591
0.14,4158
0.14,3904
0.14,3418
0.14,4064
0.14,1737
0.14,3020
0.14,4845
0.14,5115
0.14,4129
0.14,2755
0.14,5637
0.14,5453
0.14,3830
0.14,2097
0.14,1756
0.14,3013
0.14,5294
0.14,3401
0.14,2803
0.14,3894
0.14,3472
0.14,3512
0.14,4336
0.14,3160
0.14,3653
0.14,2697
0.14,3647
0.14,3344
0.14,6449
0.14,1740
0.14,3045
0.14,1843
0.14,3567
0.14,3559
0.14,4665
0.14,5134
0.14,4831
0.14,4520
0.14,6408
0.14,4804
0.14,3627
0.14,4100
0.14,2984
0.14,3518
0.14,2464
0.14,2390
0.14,1885
0.14,2840
0.14,2913
0.14,3660
0.14,4590
0.14,2920
0.14,2982
0.14,5349
0.14,2915
0.14,3158
0.14,4198
0.15,3497
0.15,3498
0.15,2843
0.15,3791
0.15,3615
0.15,3765
0.15,3490
0.15,3563
0.15,3841
0.15,3041
0.15,2974
0.15,2967
0.15,2646
0.15,4217
0.15,3710
0.15,3653
0.15,3149
0.15,5399
0.15,2341
0.15,5194
0.15,4255
0.15,1781
0.15,5186
0.15,2586
0.15,2766
0.15,2656
0.15,2402
0.15,1865
0.15,2592
0.15,2992
0.15,4306
0.15,3099
0.15,2578
0.15,1572
0.15,3536
0.15,4131
0.15,2437
0.15,2998
0.15,3222
0.15,3905
0.15,3837
0.15,3404
0.15,2251
0.15,3560
0.15,4968
0.15,4318
0.15,3647
0.15,4301
0.15,3183
0.15,3041
0.15,3235
0.15,4051
0.15,3592
0.15,4116
0.15,3427
0.15,3795
0.15,3157
0.15,4668
0.15,2128
0.15,2590
0.15,2425
0.15,4130
0.15,3676
0.15,3144
0.15,2995
0.15,2089
0.15,2773
0.15,2401
0.15,4274
0.15,4236
0.15,3292
0.15,2769
0.15,2064
0.15,2375
0.15,5745
0.15,3004
0.15,4130
0.15,3187
0.15,4775
0.15,2226
0.15,4030
0.15,3381
0.15,3019
0.15,4173
0.15,5566
0.15,5054
0.15,3009
0.15,2554
0.15,2707
0.15,2978
0.15,2953
0.15,3230
0.15,3224
0.15,4742
0.15,2598
0.15,3808
0.15,4294
0.15,3541
0.15,2976
0.15,4528
0.16,6111
0.16,3151
0.16,2176
0.16,5047
0.16,3253
0.16,3708
0.16,3359
0.16,3907
0.16,4575
0.16,6021
0.16,4531
0.16,5113
0.16,3436
0.16,2089
0.16,4694
0.16,2885
0.16,5311
0.16,4606
0.16,3222
0.16,2225
0.16,5147
0.16,5723
0.16,3361
0.16,2675
0.16,4272
0.16,2229
0.16,2964
