alpha,steps
0.09,3027
0.09,3399
0.09,2269
0.09,2255
0.09,3385
0.09,2302
0.09,2681
0.09,3563
0.09,3177
0.09,3066
0.09,2628
0.09,10562
0.09,2874
0.09,1980
0.09,2481
0.09,4284
0.09,2585
0.09,3856
0.09,2323
0.09,2857
0.09,3007
0.09,4283
0.09,2727
0.09,4043
0.09,5318
0.09,3044
0.09,2566
0.09,3416
0.09,3528
0.09,3328
0.09,3104
0.09,4063
0.09,3428
0.09,3097
0.09,2996
0.09,2286
0.09,3858
0.09,3789
0.09,2932
0.09,3028
0.09,4415
0.09,3736
0.09,4777
0.1,3729
0.1,2451
0.1,4544
0.1,2837
0.1,3108
0.1,4774
0.1,3523
0.1,2705
0.1,2813
0.1,4215
0.1,3949
0.1,3408
0.1,3335
0.1,2146
0.1,2806
0.1,3285
0.1,3627
0.1,2724
0.1,4625
0.1,4312
0.1,3364
0.1,2564
0.1,2745
0.1,3727
0.1,2365
0.1,3993
0.1,1663
0.1,3678
0.1,2851
0.1,6639
0.1,3843
0.1,2928
0.1,3062
0.1,4397
0.1,1466
0.1,2383
0.1,3542
0.1,6383
0.1,3442
0.1,2596
0.1,2317
0.1,4385
0.1,2189
0.1,2998
0.1,1894
0.1,3929
0.1,5816
0.1,1611
0.1,2296
0.1,2093
0.1,3628
0.1,2087
0.1,2461
0.1,2995
0.1,1332
0.1,4878
0.1,3319
0.1,2359
0.1,2320
0.1,2338
0.1,3377
0.1,4498
0.1,2145
0.1,2638
0.1,5151
0.1,1853
0.1,3558
0.1,2372
0.1,3164
0.1,2681
0.1,1882
0.1,2739
0.1,3607
0.1,4121
0.1,5240
0.1,2371
0.1,3006
0.1,2339
0.1,3167
0.1,2410
0.1,3867
0.1,3291
0.1,3078
0.1,3970
0.1,4415
0.1,3511
0.1,2986
0.1,1954
0.1,5003
0.1,2947
0.1,2040
0.1,2832
0.1,2759
0.1,5579
0.1,2345
0.1,3262
0.1,3236
0.1,2163
0.1,2540
0.1,2400
0.11,3415
0.11,2171
0.11,1473
0.11,3866
0.11,5566
0.11,2437
0.11,3137
0.11,3135
0.11,3023
0.11,3043
0.11,3200
0.11,3684
0.11,3756
0.11,3929
0.11,2965
0.11,3177
0.11,3635
0.11,3503
0.11,4891
0.11,2604
0.11,2850
0.11,3386
0.11,2628
0.11,2940
0.11,2479
0.11,3362
0.11,2184
0.11,3771
0.11,2899
0.11,5282
0.11,2397
0.11,2182
0.11,2894
0.11,1672
0.11,2932
0.11,2860
0.11,2866
0.11,5123
0.11,2892
0.11,1871
0.11,3361
0.11,2408
0.11,3026
0.11,2168
0.11,6596
0.11,2564
0.11,3544
0.11,3369
0.11,1919
0.11,3021
0.11,4038
0.11,3244
0.11,2902
0.11,3875
0.11,3088
0.11,3928
0.11,3294
0.11,2886
0.11,5591
0.11,1636
0.11,3474
0.11,5135
0.11,2789
0.11,2349
0.11,1812
0.11,4307
0.11,4428
0.11,1988
0.11,3684
0.11,5054
0.11,2245
0.11,2244
0.11,4032
0.11,3321
0.11,4635
0.11,3230
0.11,2542
0.11,3447
0.11,3179
0.11,3326
0.11,4634
0.11,3690
0.11,2376
0.11,3646
0.11,2559
0.11,2764
0.11,4578
0.11,3165
0.11,4642
0.11,4172
0.11,3236
0.11,2349
0.11,1990
0.11,2993
0.11,1906
0.11,2228
0.11,4368
0.11,3879
0.11,2613
0.11,3004
0.12,2504
0.12,5754
0.12,6191
0.12,2637
0.12,3496
0.12,3894
0.12,6131
0.12,1651
0.12,4507
0.12,2949
0.12,1718
0.12,2442
0.12,1815
0.12,3292
0.12,2952
0.12,2554
0.12,3038
0.12,4181
0.12,3372
0.12,2646
0.12,3816
0.12,3295
0.12,3510
0.12,3354
0.12,2628
0.12,3436
0.12,3822
0.12,2306
0.12,3216
0.12,3911
0.12,3778
0.12,3417
0.12,2300
0.12,2226
0.12,3085
0.12,3548
0.12,2288
0.12,2766
0.12,2521
0.12,3069
0.12,4955
0.12,2115
0.12,2308
0.12,3159
0.12,3090
0.12,4312
0.12,3708
0.12,2425
0.12,4236
0.12,4346
0.12,3891
0.12,4623
0.12,2906
0.12,4851
0.12,2330
0.12,2727
0.12,4133
0.12,2921
0.12,4597
0.12,2094
0.12,4092
0.12,4175
0.12,5931
0.12,2299
0.12,3554
0.12,3845
0.12,4316
0.12,4635
0.12,1891
0.12,4655
0.12,2681
0.12,3953
0.12,1576
0.12,2669
0.12,3858
0.12,2967
0.12,2335
0.12,1849
0.12,4541
0.12,1768
0.12,3126
0.12,2803
0.12,2694
